Fecha;IPC
2025-12-01;101.289
2025-11-01;100.943
2025-10-01;100.748
2025-09-01;100.059
2025-08-01;100.345
2025-07-01;100.305
2025-06-01;100.382
2025-05-01;99.714
2025-04-01;99.647
2025-03-01;99.024
2025-02-01;98.966
2025-01-01;98.579
2024-12-01;98.411
2024-11-01;97.968
2024-10-01;97.729
2024-09-01;97.123
2024-08-01;97.713
2024-07-01;97.673
2024-06-01;98.139
2024-05-01;97.771
2024-04-01;97.514
2024-03-01;96.84
2024-02-01;96.108
2024-01-01;95.768
2023-12-01;95.687
2023-11-01;95.663
2023-10-01;95.998
2023-09-01;95.721
2023-08-01;95.552
2023-07-01;95.042
2023-06-01;94.881
2023-05-01;94.345
2023-04-01;94.39
2023-03-01;93.831
2023-02-01;93.487
2023-01-01;92.613
2022-12-01;92.808
2022-11-01;92.669
2022-10-01;92.78
2022-09-01;92.47
2022-08-01;93.117
2022-07-01;92.881
2022-06-01;93.118
2022-05-01;91.426
2022-04-01;90.676
2022-03-01;90.837
2022-02-01;88.167
2022-01-01;87.46
2021-12-01;87.797
2021-11-01;86.761
2021-10-01;86.496
2021-09-01;84.934
2021-08-01;84.232
2021-07-01;83.85
2021-06-01;84.487
2021-05-01;84.087
2021-04-01;83.693
2021-03-01;82.716
2021-02-01;81.922
2021-01-01;82.407
2020-12-01;82.4
2020-11-01;82.225
2020-10-01;82.09
2020-09-01;81.662
2020-08-01;81.54
2020-07-01;81.502
2020-06-01;82.24
2020-05-01;81.863
2020-04-01;81.868
2020-03-01;81.621
2020-02-01;81.935
2020-01-01;82.032
2019-12-01;82.84
2019-11-01;82.9
2019-10-01;82.76
2019-09-01;81.965
2019-08-01;81.965
2019-07-01;82.011
2019-06-01;82.522
2019-05-01;82.619
2019-04-01;82.459
2019-03-01;81.636
2019-02-01;81.34
2019-01-01;81.142
2018-12-01;82.193
2018-11-01;82.563
2018-10-01;82.654
2018-09-01;81.897
2018-08-01;81.697
2018-07-01;81.581
2018-06-01;82.17
2018-05-01;81.956
2018-04-01;81.224
2018-03-01;80.558
2018-02-01;80.463
2018-01-01;80.355
2017-12-01;81.231
2017-11-01;81.194
2017-10-01;80.825
2017-09-01;80.086
2017-08-01;79.947
2017-07-01;79.788
2017-06-01;80.343
2017-05-01;80.308
2017-04-01;80.356
2017-03-01;79.592
2017-02-01;79.608
2017-01-01;79.896
2016-12-01;80.338
2016-11-01;79.864
2016-10-01;79.576
2016-09-01;78.677
2016-08-01;78.673
2016-07-01;78.572
2016-06-01;79.148
2016-05-01;78.783
2016-04-01;78.355
2016-03-01;77.81
2016-02-01;77.314
2016-01-01;77.588
2015-12-01;79.097
2015-11-01;79.329
2015-10-01;79.039
2015-09-01;78.536
2015-08-01;78.779
2015-07-01;79.041
2015-06-01;79.782
2015-05-01;79.569
2015-04-01;79.191
2015-03-01;78.47
2015-02-01;77.972
2015-01-01;77.812
2014-12-01;79.083
2014-11-01;79.547
2014-10-01;79.602
2014-09-01;79.233
2014-08-01;79.112
2014-07-01;78.987
2014-06-01;79.737
2014-05-01;79.715
2014-04-01;79.697
2014-03-01;78.994
2014-02-01;78.818
2014-01-01;78.852
2013-12-01;79.915
2013-11-01;79.844
2013-10-01;79.678
2013-09-01;79.355
2013-08-01;79.504
2013-07-01;79.258
2013-06-01;79.669
2013-05-01;79.551
2013-04-01;79.405
2013-03-01;79.109
2013-02-01;78.832
2013-01-01;78.695
