Fecha;Tasa_paro
2013-01-01;26.94
2013-02-01;26.94
2013-03-01;26.94
2013-04-01;26.06
2013-05-01;26.06
2013-06-01;26.06
2013-07-01;25.65
2013-08-01;25.65
2013-09-01;25.65
2013-10-01;25.73
2013-11-01;25.73
2013-12-01;25.73
2014-01-01;25.93
2014-02-01;25.93
2014-03-01;25.93
2014-04-01;24.47
2014-05-01;24.47
2014-06-01;24.47
2014-07-01;23.67
2014-08-01;23.67
2014-09-01;23.67
2014-10-01;23.7
2014-11-01;23.7
2014-12-01;23.7
2015-01-01;23.78
2015-02-01;23.78
2015-03-01;23.78
2015-04-01;22.37
2015-05-01;22.37
2015-06-01;22.37
2015-07-01;21.18
2015-08-01;21.18
2015-09-01;21.18
2015-10-01;20.9
2015-11-01;20.9
2015-12-01;20.9
2016-01-01;21.0
2016-02-01;21.0
2016-03-01;21.0
2016-04-01;20.0
2016-05-01;20.0
2016-06-01;20.0
2016-07-01;18.91
2016-08-01;18.91
2016-09-01;18.91
2016-10-01;18.63
2016-11-01;18.63
2016-12-01;18.63
2017-01-01;18.75
2017-02-01;18.75
2017-03-01;18.75
2017-04-01;17.22
2017-05-01;17.22
2017-06-01;17.22
2017-07-01;16.38
2017-08-01;16.38
2017-09-01;16.38
2017-10-01;16.55
2017-11-01;16.55
2017-12-01;16.55
2018-01-01;16.74
2018-02-01;16.74
2018-03-01;16.74
2018-04-01;15.28
2018-05-01;15.28
2018-06-01;15.28
2018-07-01;14.55
2018-08-01;14.55
2018-09-01;14.55
2018-10-01;14.45
2018-11-01;14.45
2018-12-01;14.45
2019-01-01;14.7
2019-02-01;14.7
2019-03-01;14.7
2019-04-01;14.02
2019-05-01;14.02
2019-06-01;14.02
2019-07-01;13.92
2019-08-01;13.92
2019-09-01;13.92
2019-10-01;13.78
2019-11-01;13.78
2019-12-01;13.78
2020-01-01;14.41
2020-02-01;14.41
2020-03-01;14.41
2020-04-01;15.33
2020-05-01;15.33
2020-06-01;15.33
2020-07-01;16.26
2020-08-01;16.26
2020-09-01;16.26
2020-10-01;16.13
2020-11-01;16.13
2020-12-01;16.13
2021-01-01;16.14
2021-02-01;16.14
2021-03-01;16.14
2021-04-01;15.39
2021-05-01;15.39
2021-06-01;15.39
2021-07-01;14.71
2021-08-01;14.71
2021-09-01;14.71
2021-10-01;13.44
2021-11-01;13.44
2021-12-01;13.44
2022-01-01;13.73
2022-02-01;13.73
2022-03-01;13.73
2022-04-01;12.69
2022-05-01;12.69
2022-06-01;12.69
2022-07-01;12.73
2022-08-01;12.73
2022-09-01;12.73
2022-10-01;12.99
2022-11-01;12.99
2022-12-01;12.99
2023-01-01;13.38
2023-02-01;13.38
2023-03-01;13.38
2023-04-01;11.67
2023-05-01;11.67
2023-06-01;11.67
2023-07-01;11.89
2023-08-01;11.89
2023-09-01;11.89
2023-10-01;11.8
2023-11-01;11.8
2023-12-01;11.8
2024-01-01;12.29
2024-02-01;12.29
2024-03-01;12.29
2024-04-01;11.27
2024-05-01;11.27
2024-06-01;11.27
2024-07-01;11.21
2024-08-01;11.21
2024-09-01;11.21
2024-10-01;10.61
2024-11-01;10.61
2024-12-01;10.61
2025-01-01;11.36
2025-02-01;11.36
2025-03-01;11.36
2025-04-01;10.29
2025-05-01;10.29
2025-06-01;10.29
2025-07-01;10.45
2025-08-01;10.45
2025-09-01;10.45
2025-10-01;9.93
2025-11-01;9.93
2025-12-01;9.93
