"Año";"Trimestre";"Mes";"Cuentas activas";"Cuentas nuevas"
2013;"2013.T1";"Enero";289770;120555
2013;"2013.T1";"Febrero";287528;125069
2013;"2013.T1";"Marzo";305069;145874
2013;"2013.T2";"Abril";290931;118272
2013;"2013.T2";"Mayo";280910;97914
2013;"2013.T2";"Junio";239465;73477
2013;"2013.T3";"Julio";189706;57152
2013;"2013.T3";"Agosto";237728;88041
2013;"2013.T3";"Septiembre";338720;149084
2013;"2013.T4";"Octubre";303976;118735
2013;"2013.T4";"Noviembre";298177;103948
2013;"2013.T4";"Diciembre";284497;93203
2014;"2014.T1";"Enero";316668;115633
2014;"2014.T1";"Febrero";326819;110632
2014;"2014.T1";"Marzo";340938;114006
2014;"2014.T2";"Abril";347128;107169
2014;"2014.T2";"Mayo";345191;101779
2014;"2014.T2";"Junio";372573;141578
2014;"2014.T3";"Julio";366025;75560
2014;"2014.T3";"Agosto";356346;77728
2014;"2014.T3";"Septiembre";486319;133482
2014;"2014.T4";"Octubre";346860;102066
2014;"2014.T4";"Noviembre";379058;105581
2014;"2014.T4";"Diciembre";349009;98428
2015;"2015.T1";"Enero";392919;128366
2015;"2015.T1";"Febrero";391401;114926
2015;"2015.T1";"Marzo";402558;125134
2015;"2015.T2";"Abril";391627;109351
2015;"2015.T2";"Mayo";393736;110438
2015;"2015.T2";"Junio";344641;91811
2015;"2015.T3";"Julio";270257;63140
2015;"2015.T3";"Agosto";369430;103318
2015;"2015.T3";"Septiembre";406554;121520
2015;"2015.T4";"Octubre";517553;150725
2015;"2015.T4";"Noviembre";522224;151321
2015;"2015.T4";"Diciembre";515209;136176
2016;"2016.T1";"Enero";522200;142654
2016;"2016.T1";"Febrero";553506;150970
2016;"2016.T1";"Marzo";575666;160933
2016;"2016.T2";"Abril";634221;199441
2016;"2016.T2";"Mayo";618308;171081
2016;"2016.T2";"Junio";560789;148622
2016;"2016.T3";"Julio";485092;112237
2016;"2016.T3";"Agosto";524620;145621
2016;"2016.T3";"Septiembre";613131;192261
2016;"2016.T4";"Octubre";592574;148395
2016;"2016.T4";"Noviembre";609233;173370
2016;"2016.T4";"Diciembre";611929;158153
2017;"2017.T1";"Enero";627991;159956
2017;"2017.T1";"Febrero";632014;160355
2017;"2017.T1";"Marzo";679419;180095
2017;"2017.T2";"Abril";713913;189168
2017;"2017.T2";"Mayo";660780;150561
2017;"2017.T2";"Junio";563493;123064
2017;"2017.T3";"Julio";486371;114992
2017;"2017.T3";"Agosto";663370;196273
2017;"2017.T3";"Septiembre";713914;193508
2017;"2017.T4";"Octubre";692029;179955
2017;"2017.T4";"Noviembre";677387;162514
2017;"2017.T4";"Diciembre";682488;158936
2018;"2018.T1";"Enero";757508;203529
2018;"2018.T1";"Febrero";788650;208001
2018;"2018.T1";"Marzo";842834;238288
2018;"2018.T2";"Abril";852854;221281
2018;"2018.T2";"Mayo";843058;193221
2018;"2018.T2";"Junio";883174;239819
2018;"2018.T3";"Julio";809156;189562
2018;"2018.T3";"Agosto";767807;178595
2018;"2018.T3";"Septiembre";859059;214855
2018;"2018.T4";"Octubre";900380;249123
2018;"2018.T4";"Noviembre";846468;210941
2018;"2018.T4";"Diciembre";828006;212089
2019;"2019.T1";"Enero";911864;270950
2019;"2019.T1";"Febrero";900358;226131
2019;"2019.T1";"Marzo";916318;238142
2019;"2019.T2";"Abril";904987;229968
2019;"2019.T2";"Mayo";923973;240478
2019;"2019.T2";"Junio";754751;155467
2019;"2019.T3";"Julio";772659;193574
2019;"2019.T3";"Agosto";898054;232913
2019;"2019.T3";"Septiembre";938131;241833
2019;"2019.T4";"Octubre";916658;237958
2019;"2019.T4";"Noviembre";957398;276619
2019;"2019.T4";"Diciembre";1044117;282134
2020;"2020.T1";"Enero";866412;235452
2020;"2020.T1";"Febrero";896810;234353
2020;"2020.T1";"Marzo";971107;315176
2020;"2020.T2";"Abril";572569;119371
2020;"2020.T2";"Mayo";547035;71815
2020;"2020.T2";"Junio";809211;172888
2020;"2020.T3";"Julio";830672;277251
2020;"2020.T3";"Agosto";888366;276672
2020;"2020.T3";"Septiembre";926355;305521
2020;"2020.T4";"Octubre";1016992;323091
2020;"2020.T4";"Noviembre";1062368;354763
2020;"2020.T4";"Diciembre";1074056;326305
2021;"2021.T1";"Enero";1103609;381662
2021;"2021.T1";"Febrero";1157475;400271
2021;"2021.T1";"Marzo";1100981;323716
2021;"2021.T2";"Abril";1122129;324947
2021;"2021.T2";"Mayo";946298;140658
2021;"2021.T2";"Junio";911138;126403
2021;"2021.T3";"Julio";899913;121800
2021;"2021.T3";"Agosto";892928;136352
2021;"2021.T3";"Septiembre";952936;151426
2021;"2021.T4";"Octubre";961727;173809
2021;"2021.T4";"Noviembre";954047;164662
2021;"2021.T4";"Diciembre";978846;162927
2022;"2022.T1";"Enero";1041576;119029
2022;"2022.T1";"Febrero";1034639;105385
2022;"2022.T1";"Marzo";1053602;118952
2022;"2022.T2";"Abril";1078317;114479
2022;"2022.T2";"Mayo";1085686;113908
2022;"2022.T2";"Junio";891750;89423
2022;"2022.T3";"Julio";818226;73858
2022;"2022.T3";"Agosto";1002358;106413
2022;"2022.T3";"Septiembre";1116133;128570
2022;"2022.T4";"Octubre";1151616;123472
2022;"2022.T4";"Noviembre";1211124;148586
2022;"2022.T4";"Diciembre";1204775;124711
2023;"2023.T1";"Enero";1151205;110585
2023;"2023.T1";"Febrero";1143152;108585
2023;"2023.T1";"Marzo";1162400;114445
2023;"2023.T2";"Abril";1163600;107646
2023;"2023.T2";"Mayo";1199518;115302
2023;"2023.T2";"Junio";1037524;85464
2023;"2023.T3";"Julio";930083;82387
2023;"2023.T3";"Agosto";1106157;110972
2023;"2023.T3";"Septiembre";1211990;129350
2023;"2023.T4";"Octubre";1263401;132559
2023;"2023.T4";"Noviembre";1265666;130338
2023;"2023.T4";"Diciembre";1279037;124723
2024;"2024.T1";"Enero";1331435;141723
2024;"2024.T1";"Febrero";1338741;142105
2024;"2024.T1";"Marzo";1339909;130387
2024;"2024.T2";"Abril";1384608;141416
2024;"2024.T2";"Mayo";1357037;138019
2024;"2024.T2";"Junio";1482295;172598
2024;"2024.T3";"Julio";1493379;170421
2024;"2024.T3";"Agosto";1401029;141106
2024;"2024.T3";"Septiembre";1456540;148016
2024;"2024.T4";"Octubre";1566027;175587
2024;"2024.T4";"Noviembre";1532411;165080
2024;"2024.T4";"Diciembre";1553353;158806
2025;"2025.T1";"Enero";1751414;203973
2025;"2025.T1";"Febrero";1717982;183693
2025;"2025.T1";"Marzo";1756984;184333
2025;"2025.T2";"Abril";1735606;171961
2025;"2025.T2";"Mayo";1709494;165967
2025;"2025.T2";"Junio";1670408;168006
2025;"2025.T3";"Julio";1572844;142159
2025;"2025.T3";"Agosto";1624910;149043
2025;"2025.T3";"Septiembre";1776136;168657
2025;"2025.T4";"Octubre";1835561;174618
2025;"2025.T4";"Noviembre";1797408;161563
2025;"2025.T4";"Diciembre";1802284;164317
